,name,numberOfDims,cpuCompatability,frequency,EccCompatability,wattage(watts),ModelNumber,memory_type,dim_slot_type
0,Corsair Vengeance LPX 16 GB,2,intel,16,False,3.06,0,ddr4,DIMM
1,Corsair Vengeance RGB Pro 16 GB,2,intel,16,False,3.06,1,ddr4,DIMM
2,Crucial Ballistix 16 GB,2,intel,16,False,3.06,2,ddr4,DIMM
3,G.Skill Trident Z RGB 16 GB,4,amd,18,True,3.06,3,ddr4,DIMM
4,Corsair Vengeance RGB Pro 32 GB,2,intel,16,False,6.14,4,ddr5,DIMM
5,Crucial Ballistix 16 GB,2,intel,16,False,3.06,5,ddr4,DIMM
6,Corsair Vengeance RGB Pro 16 GB,2,intel,16,False,3.06,6,ddr4,DIMM
7,G.Skill Ripjaws V Series 32 GB,2,intel,16,False,6.14,7,ddr5,DIMM
8,G.Skill Trident Z Neo 32 GB,2,intel,16,False,6.14,8,ddr5,DIMM
9,Team T-FORCE VULCAN Z 16 GB,2,intel,16,False,3.06,9,ddr4,DIMM
10,Corsair Vengeance RGB Pro 32 GB,4,amd,18,True,6.14,10,ddr5,DIMM
11,G.Skill Ripjaws V 16 GB,2,intel,16,False,3.06,11,ddr4,DIMM
12,Corsair Vengeance LPX 128 GB,4,amd,19,True,6.14,12,ddr5,DIMM
13,Corsair Vengeance LPX 16 GB,4,amd,18,True,3.06,13,ddr4,DIMM
14,Corsair Vengeance LPX 16 GB,2,intel,16,False,3.06,14,ddr4,DIMM
15,Crucial Ballistix 32 GB,2,intel,16,False,6.14,15,ddr5,DIMM
16,G.Skill Aegis 16 GB,2,intel,16,False,3.06,16,ddr4,DIMM
17,Corsair Vengeance RGB Pro 16 GB,4,amd,18,True,3.06,17,ddr4,DIMM
18,Corsair Vengeance LPX 32 GB,4,amd,18,True,6.14,18,ddr5,DIMM
19,G.Skill Trident Z RGB 128 GB,4,amd,18,True,6.14,19,ddr5,DIMM
20,G.Skill Trident Z RGB 16 GB,2,intel,16,False,3.06,20,ddr4,DIMM
21,Kingston HyperX Fury 16 GB,2,intel,16,False,3.06,21,ddr4,DIMM
22,G.Skill Trident Z RGB 32 GB,2,intel,16,False,6.14,22,ddr5,DIMM
23,G.Skill Ripjaws V Series 16 GB,2,intel,16,False,3.06,23,ddr4,DIMM
24,G.Skill Aegis 8 GB,2,intel,16,False,3.06,24,ddr4,DIMM
25,G.Skill Trident Z Neo 16 GB,2,intel,16,False,3.06,25,ddr4,DIMM
26,Corsair Vengeance RGB Pro 32 GB,2,intel,16,False,6.14,26,ddr5,DIMM
27,Corsair Vengeance LPX 8 GB,2,intel,16,False,6.14,27,ddr5,DIMM
28,Crucial Ballistix 16 GB,2,intel,16,False,3.06,28,ddr4,DIMM
29,Corsair Vengeance RGB Pro 32 GB,2,intel,16,False,3.06,29,ddr4,DIMM
30,Crucial Ballistix RGB 16 GB,2,intel,16,False,3.06,30,ddr4,DIMM
31,Team T-Force Delta RGB 16 GB,2,intel,16,False,3.06,31,ddr4,DIMM
32,Crucial Ballistix 32 GB,2,intel,16,False,6.14,32,ddr5,DIMM
33,Corsair Vengeance RGB Pro 16 GB,4,amd,18,True,3.06,33,ddr4,DIMM
34,Crucial Ballistix 16 GB,2,intel,16,False,3.06,34,ddr4,DIMM
35,Kingston HyperX Fury 8 GB,2,intel,16,False,3.06,35,ddr4,DIMM
36,Corsair Vengeance RGB Pro 64 GB,2,intel,16,False,6.14,36,ddr5,DIMM
37,Corsair Vengeance LPX 16 GB,2,intel,15,False,3.06,37,ddr4,DIMM
38,ADATA XPG SPECTRIX D60G 16 GB,2,intel,16,False,3.06,38,ddr4,DIMM
39,G.Skill Trident Z Royal 32 GB,4,amd,19,True,6.14,39,ddr5,DIMM
40,OLOy MD4U083016BGDA 16 GB,2,intel,16,False,3.06,40,ddr4,DIMM
41,G.Skill Ripjaws V 16 GB,4,amd,18,True,3.06,41,ddr4,DIMM
42,Corsair Vengeance RGB Pro 32 GB,2,intel,16,False,3.06,42,ddr4,DIMM
43,OLOy MD4U083216BJDA 16 GB,2,intel,16,False,3.06,43,ddr4,DIMM
44,Team T-FORCE VULCAN Z 16 GB,2,intel,16,False,3.06,44,ddr4,DIMM
45,G.Skill Trident Z Neo 64 GB,2,intel,16,False,6.14,45,ddr5,DIMM
46,G.Skill Ripjaws V 32 GB,2,intel,16,False,6.14,46,ddr5,DIMM
47,Corsair Vengeance RGB Pro 32 GB,4,amd,18,True,3.06,47,ddr4,DIMM
48,Kingston HyperX Fury RGB 16 GB,2,intel,16,False,3.06,48,ddr4,DIMM
49,Silicon Power XPOWER Turbine 16 GB,2,intel,16,False,3.06,49,ddr4,DIMM
50,Crucial Ballistix MAX 16 GB,4,amd,19,True,3.06,50,ddr4,DIMM
51,G.Skill Trident Z RGB 64 GB,4,amd,18,True,6.14,51,ddr5,DIMM
52,G.Skill Trident Z RGB 32 GB,2,intel,16,False,6.14,52,ddr5,DIMM
53,Corsair Vengeance 16 GB,2,intel,9,False,3.06,53,ddr4,DIMM
54,Patriot Viper Steel 16 GB,4,amd,19,True,3.06,54,ddr4,DIMM
55,G.Skill Trident Z Royal 128 GB,4,amd,18,True,6.14,55,ddr5,DIMM
56,G.Skill Trident Z RGB 32 GB,2,intel,16,False,3.06,56,ddr4,DIMM
57,Silicon Power SP016GXLZU320BDAJ5 16 GB,2,intel,16,False,3.06,57,ddr4,DIMM
58,Corsair Vengeance LPX 8 GB,2,intel,16,False,3.06,58,ddr4,DIMM
59,Crucial Ballistix RGB 16 GB,2,intel,16,False,3.06,59,ddr4,DIMM
60,Team T-Force Delta RGB 16 GB,2,intel,16,False,3.06,60,ddr4,DIMM
61,Crucial Ballistix 64 GB,2,intel,16,False,6.14,61,ddr5,DIMM
62,Corsair Vengeance RGB Pro 32 GB,4,amd,18,True,3.06,62,ddr4,DIMM
63,Team T-Force Delta RGB 32 GB,2,intel,16,False,6.14,63,ddr5,DIMM
